word,freq
allumerent,"2,5"
allumes,"5,35"
allumette,"9,73"
allumettes,"11,15"
allumeuse,"0,74"
allumez,"0,47"
allure,"57,09"
allures,"8,78"
allusion,"23,18"
allusions,"7,97"
almanach,"1,22"
alors,"1033,78"
alouette,"1,82"
alourdi,"2,5"
alourdie,"2,64"
alourdies,"1,28"
alourdir,"1,82"
alourdis,"1,55"
alourdissait,"1,69"
alourdissant,"0,41"
alourdissent,"0,68"
alourdit,"1,76"
alpages,"0,47"
alpagues,"0,07"
alpestre,"0,27"
alpestres,"0,2"
alpha,"0,61"
alphabet,"4,39"
alphabetique,"1,69"
alpin,"0,95"
alpine,"0,47"
alpiniste,"1,15"
alpins,"1,42"
alsacien,"3,58"
alsacienne,"2,36"
