,word,pron,freq
1534,####bar,####baR,2.59
1538,####bat,##ba,4.25
1539,####be,###b°,2.97
1540,####beau,###bo,2.66
1542,####bee,####bi,1.35
1545,####ber,###be,4.61
1552,####bi,###bil,8.03
1553,####bic,##Ro,1.2
1558,####bier,###bje,6.32
1574,####blais,###blE,1.54
1575,####blait,###blE,3.1799999999999997
1576,####blant,###bl@,3.9800000000000004
1578,####bler,###ble,10.33
1580,####blez,###ble,3.1
1581,####bli,####bli,3.2699999999999996
1582,####blie,####bli,1.55
1586,####blir,####bliR,5.19
1595,####blé,###ble,9.02
1596,####blée,###ble,3.78
1598,####blés,###ble,1.6999999999999997
1599,####bo,###bOn,2.95
1601,####boi,###bwaR,6.0
1605,####bon,###b§,11.05
1606,####bond,####b§,8.07
1620,####bra,####bRal,6.1
1623,####bral,####bRal,2.98
1627,####brer,####bRe,8.569999999999999
1629,####breux,####bR2,1.11
1631,####bri,####bRi,4.4
1634,####brons,####bR§,1.27
1637,####bré,####bRe,2.5799999999999996
1645,####bus,###bys,4.67
1649,####bé,###be,5.3999999999999995
1650,####bée,###be,1.6500000000000001
1652,####béi,####be,2.32
1653,####béir,####be,1.75
1656,####bés,###be,1.32
1657,####ca,####kal,21.83
1658,####cai,####kEn,1.71
1659,####cain,###si,7.859999999999999
1660,####cains,###si,4.07
1661,####cal,####kal,34.18
1665,####car,###kaR,2.7
1666,####card,###kaR,2.48
1669,####cat,####ka,10.43
1670,####cats,####ka,1.4900000000000002
1673,####caux,####ko,6.59
1674,####ce,##@s,18.65
1675,####ceau,##so,1.27
1677,####cel,###sEl,4.37
1678,####cen,###s@t,12.4
1679,####cent,###s@,34.98
1680,####cents,###s@,16.130000000000003
1682,####cer,###se,37.52999999999999
1684,####ces,###sEs,46.31
1685,####ceu,##s2z,2.49
1688,####ceux,##s2,10.24
1689,####cez,###se,21.75
1690,####cha,###Sa,1.85
1692,####chais,###SE,28.12
1693,####chait,###SE,20.21
1694,####chal,####Sal,2.6799999999999997
1695,####chant,###S@,11.49
1701,####chaut,####So,1.45
1703,####che,###S°,51.23
1704,####chen,####SEn,1.89
1705,####cher,###Se,427.08
1709,####cheur,###S9R,8.31
1710,####cheux,###S2,2.16
1711,####chez,###Se,55.64000000000001
1712,####chi,###Si,8.25
1713,####chie,####Si,4.18
1715,####chiez,###Sje,4.949999999999999
1716,####chir,###SiR,12.75
1717,####chis,###Si,2.58
1718,####chit,###Si,4.07
1723,####chon,####S§,2.8600000000000003
1724,####chons,###S§,14.930000000000001
1725,####chou,##Su,3.16
1728,####chu,####Syt,4.57
1735,####ché,###Se,78.48000000000002
1736,####chée,###Se,25.860000000000007
1738,####chées,###Se,5.76
1739,####chés,###Se,8.22
1741,####ci,###sil,65.24
1748,####cie,####si,2.95
1749,####ciel,###sjEl,10.459999999999999
1750,####ciels,###sjEl,3.21
1751,####cien,####sj5,20.31
1752,####ciens,####sj5,9.719999999999999
1753,####cient,##sj@,9.3
1754,####cier,###sje,45.87
1755,####ciers,###sje,19.89
1757,####cieux,####sj2,26.07
1760,####cil,###si,1.49
1761,####cils,###si,4.43
1763,####cing,###siG,1.69
1766,####cir,###siR,1.59
1767,####cis,###si,1.29
1768,####cit,####sit,1.91
1772,####ciè,####sjER,2.46
1773,####cié,###sje,18.619999999999997
1774,####ciée,###sje,2.7
1776,####ciés,###sje,10.879999999999999
1782,####clard,####klaR,2.22
1793,####co,###ko,6.0600000000000005
1798,####corps,###kOR,1.35
1800,####cot,####ko,1.6999999999999997
1801,####cots,###ko,7.45
1802,####coup,##ku,626.0
1804,####cra,####kRat,3.42
1812,####cri,###kRit,7.3
1816,####crit,####kRi,5.260000000000001
1818,####crons,##kR§,1.62
1821,####cu,####kyl,74.17
1822,####cue,##ky,1.66
1825,####cus,##ky,2.4899999999999998
1829,####cé,###se,69.00000000000001
1830,####cée,###se,49.53999999999999
1832,####cées,###se,4.159999999999999
1833,####cés,###se,17.360000000000003
1835,####da,###da,6.8999999999999995
1836,####dai,####dE,2.04
1840,####dais,####dE,1.7900000000000003
1841,####dait,####dE,2.9299999999999997
1845,####dan,###d@s,2.76
1846,####dant,####d@,17.52
1849,####dard,###daR,8.179999999999998
1854,####de,####d°,7.219999999999999
1856,####del,##dEl,3.51
1857,####den,####d@s,8.84
1858,####dent,####d@,102.58
1859,####dents,####d@,9.489999999999998
1860,####der,####de,70.77
