item,ntrials,err,rt,sd,rtz,nused
chertilaud,20,0,641.421052631579,98.0137834918435,-0.776808106669965,19
croinépopéroi,23,0,863.130434782609,231.658507358613,-0.015739268500034,23
ficubre,20,0,806.65,233.129120536464,0.035824590093575,20
récarsenrants,23,0,994.619047619048,332.358913855259,0.968936171509936,21
apilment,24,0.083333333333333,721.272727272727,241.386704533496,-0.376897807737608,22
larrires,21,0,816.52380952381,291.622807586721,-0.087115397322691,21
boutupoir,23,0.043478260869565,819.809523809524,284.058377635235,0.034212614539666,21
serque,25,0,673.12,111.162163826847,-0.526689149187613,25
molet,21,0.619047619047619,628.5,110.291820704374,-0.707589835637221,8
viertersait,20,0,776.8,208.944112396744,-0.104895895853694,20
déteildenu,21,0,743.238095238095,205.986141466339,-0.401761671632944,21
mursendait,21,0.047619047619048,820.578947368421,276.922234529133,0.144251220175508,19
strucrent,24,0.083333333333333,926.333333333333,268.279580537419,0.591307611220719,21
depagents,24,0.083333333333333,916.40909090909,271.367201423934,0.503012426936506,22
parlonvé,23,0,694.04347826087,166.003142977056,-0.584046080175962,23
voueur,24,0.208333333333333,867.157894736842,266.539191022403,0.185639520505647,19
voutacorse,21,0,767.47619047619,194.649073732093,-0.273834017784651,21
cinverpivail,23,0,758.217391304348,252.474473331057,-0.187922700661025,23
cetrament,23,0.043478260869565,763.136363636364,164.1689882711,-0.156648640290319,22
fetaphon,21,0,654.047619047619,141.918101801876,-0.659438749373381,21
vidèler,22,0.090909090909091,805.21052631579,189.835185518435,-0.043683540569387,19
ocoples,24,0.041666666666667,742.304347826087,194.091692197881,-0.2757332590162,23
fumanlaient,22,0.227272727272727,1001.11764705882,269.67245927999,0.974027140349126,17
ragnit,21,0,863.809523809524,199.681400998596,0.311488559604337,21
rasmalan,24,0,782.5,222.475792527793,-0.177765505594465,24
cherprounome,22,0,808.454545454545,271.844795928841,0.144029029283441,22
ailoufici,24,0,786.583333333333,203.123204562857,-0.177515848923295,24
ditesant,22,0.090909090909091,787.3,169.534688268554,-0.118490789809694,20
escicitre,23,0,717.869565217391,192.046704629091,-0.365617449529442,23
siverment,24,0.041666666666667,710.260869565217,195.816522979898,-0.471957945470607,23
souqueteurs,23,0,930.217391304348,270.502723313755,0.457604341292082,23
épiraguere,22,0,805.47619047619,213.327124165592,0.071477181650506,21
cirsacului,23,0.043478260869565,785,248.06719519786,-0.337325906769577,22
vitule,25,0.08,868.391304347826,304.184862920625,0.148907619928481,23
trônasprès,21,0,728.47619047619,199.627057045787,-0.315816219117418,21
penritient,23,0,980.869565217391,294.77392020262,0.681855073420054,23
phatopotant,22,0.045454545454545,815.380952380952,189.233579522894,0.235636697773263,21
dilete,23,0.086956521739131,850.571428571429,291.356923965876,0.170288984615821,21
tourtrités,23,0.086956521739131,969.047619047619,350.18958810771,0.679793158078909,21
moutemps,25,0,792.36,228.231768165608,-0.074199443273931,25
serpemare,24,0,765.260869565217,177.309748845271,-0.307486282650275,23
porliquenre,22,0,856.809523809524,271.72442272413,0.019421534582001,21
poracrétrer,23,0,894.727272727273,353.346879590039,0.44207989521632,22
froigneure,22,0.090909090909091,890,331.635024497842,0.275277277843183,20
gémements,24,0.083333333333333,1012.09523809524,294.402259631597,1.30418842860561,21
sipaciers,16,0,764.866666666667,131.136170594139,0.042336773886057,15
abrolitions,24,0.083333333333333,882.2,246.973171353532,0.592936826991466,20
sornépéser,24,0,812.291666666667,265.329078556302,-0.019277422283653,24
tamodeule,22,0,695.333333333333,124.536875395737,-0.486173310066018,21
auvions,25,0.08,830,160.182633860466,0.471912558433763,22
phrieur,19,0,805.42105263158,225.315412450456,-0.133494709881766,19
frible,23,0.086956521739131,868.571428571429,196.841451790158,0.321975391162894,21
pretiment,23,0,903.434782608696,264.860310710615,0.781174660771606,23
afaimatrain,20,0,831.6,224.882050955841,0.087190545830416,20
oncrer,24,0.083333333333333,855.727272727273,236.836327212372,0.05071498998563,22
poincèse,24,0,739.041666666667,175.231394637681,-0.385070026371797,24
pargeait,23,0.086956521739131,920.2,257.445262449894,0.568955739830968,20
parserve,21,0,828.666666666667,229.390351439055,0.066035864631386,21
malutir,21,0.047619047619048,731.95,130.700732893689,-0.445753262284027,20
grouneme,24,0,793.166666666667,220.266176263622,-0.005111786408973,24
queltérai,22,0,723,186.997326184093,-0.325315428391618,21
parmant,25,0.16,794.45,177.648818266767,0.114079398420165,20
membarvetait,23,0,751.95652173913,192.998935056146,-0.029517822122622,23
couir,21,0.238095238095238,857.333333333333,161.156829856894,0.147200559820118,15
innigeaient,22,0.136363636363636,929.411764705882,245.592665511292,0.527174626433148,17
femmait,22,0.045454545454545,872.736842105263,169.900572919465,0.542426003429226,19
parinsèches,23,0.043478260869565,793.85,235.991363579709,0.07715073502131,20
pareccentient,21,0.047619047619048,867.1,232.276128777798,0.380395678266469,20
cherments,26,0.038461538461538,846.916666666667,236.029275388838,0.155290587275095,24
proberfaitiéton,23,0,955.130434782609,345.972582248918,0.853870831735176,23
siganait,23,0.173913043478261,999.894736842105,256.920198318648,0.998025009102655,19
gices,25,0,687.32,120.492987347812,-0.447884405146119,25
farc,21,0.238095238095238,778.75,200.645126197141,0.112942037728806,16
coublévec,24,0,731.291666666667,170.561599013292,-0.439001240318435,24
parvene,19,0.105263157894737,707.823529411765,111.028844953754,-0.238468064976275,17
ânant,21,0.095238095238095,810.368421052632,250.924116578502,0.07165030557582,19
cherroraient,22,0.090909090909091,918.85,283.0226464809,0.475532300655557,20
consivoir,23,0,880.260869565217,324.040151467138,0.409314102247004,23
rédrestés,23,0.217391304347826,822.777777777778,216.849515605409,0.197234916313378,18
surbés,22,0.045454545454545,804.52380952381,232.739472167404,0.072890415529997,21
rescricritait,24,0.125,949.388888888889,278.221904429855,0.695757182640289,18
garcrore,22,0.045454545454545,762.333333333333,137.209815003641,-0.232640024755307,21
fonsions,22,0.181818181818182,843.888888888889,218.946915104979,0.346179389178386,18
asider,23,0.043478260869565,803.772727272727,206.919338279709,-0.073830782867036,22
enleta,22,0,773,202.287866547603,-0.096973294739579,22
mametiers,22,0,740.863636363636,132.742247717162,-0.247267015629486,22
portucomnait,21,0.047619047619048,762.7,194.385428303775,0.016226851602662,20
auscomes,23,0.086956521739131,706.47619047619,170.435799950485,-0.490435641315428,21
atrade,23,0.043478260869565,688.590909090909,136.799352230055,-0.575976394264828,22
échosa,23,0,804.380952380952,208.463300412921,-0.111664670397986,21
alivoument,21,0.047619047619048,722.526315789474,177.254483855229,-0.301682532290218,19
